track,cSDR_vocals,cSDR_drums,cSDR_bass,cSDR_other,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
AM Contra - Heart Peripheral,9.974684204416636,6.33520187750023,-4.81962723630639,0.39105848325125686,2.970329332215433,11.046120394602854,6.96080771610042,-1.375100951950491,0.359699550579596
Al James - Schoolboy Facination,8.4014988808976,5.454471537351243,7.721188406026638,4.604587659767491,6.545436621010744,6.920719199802808,5.803212024540993,7.343188653884413,2.9538513975225857
Angels In Amplifiers - I'm Alright,9.862952779389113,6.281905106585386,7.12646843313547,7.407496299172978,7.669705654570736,11.187059672343796,6.307466132235966,6.7634453956438705,7.595246104581648
Arise - Run Run Run,9.811629174619087,-2.9183047008438456,10.6113710009001,0.8543862196294254,4.589770423576192,11.04183944118465,-3.493602223760794,7.366199092525103,0.818565451089373
BKS - Bulldozer,6.1752637668143056,11.541549497337883,8.703353315756049,6.520656461835697,8.235205760435983,9.022804377324338,10.940224909040522,8.810092450841866,6.299431517167892
BKS - Too Much,11.005371924044304,8.383295428587324,10.914808305081799,5.711754717091864,9.003807593701323,11.358044044101472,8.22680086998318,10.254961549097594,6.186484703228694
Ben Carrigan - We'll Talk About It All Tonight,4.440334769541382,8.628476898567127,9.043936285428765,5.01280535606064,6.781388327399478,5.501494588113839,8.58407504354475,9.116369670910501,5.932465792842045
Bobby Nobody - Stitch Up,9.305779618855347,6.8363409541674045,8.387414483117213,4.8260646521578074,7.338899927074443,9.44591487998098,6.4170337040953385,7.006696249123323,5.652416810630947
Buitraker - Revo X,5.813859581755655,13.146906968706663,9.425088064668358,6.416124615378193,8.700494807627217,4.901048909972199,12.224957754938416,8.5339112308357,6.442623089915124
Carlos Gonzalez - A Place For Us,7.0193396998038065,5.8593944916659115,-0.026211868206839364,7.273016534023366,5.031384714321561,7.765427719909233,6.816833450646747,2.9119381367943102,6.579999545823338
Cristina Vane - So Easy,10.33128091608394,12.052999871085627,6.068067330096461,4.768577201387661,8.305231329663421,10.308349341436216,12.275506658501778,5.944974894719306,5.157620231302172
Detsky Sad - Walkie Talkie,10.383624533577265,9.58746230094558,4.47038083082489,1.9918132922355984,6.608320239395833,4.151289811109964,5.737001446415142,3.515624426482602,2.2024379146539004
Enda Reilly - Cur An Long Ag Seol,11.202086063210984,13.743575203536512,8.782164291492464,10.13836864147041,10.966548549927591,11.636506204482316,10.562511426742274,-14.989988946669149,8.865633649880774
Forkupines - Semantics,7.271813765599213,11.110790044274228,7.1885514152382495,5.5631840446576994,7.783584817442347,8.184228698371768,11.870218362454203,6.769724473026941,6.42761934253782
Georgia Wonder - Siren,6.558393268859758,8.900055761903811,8.570568531818576,5.502602877236253,7.3829051099546,5.495493640944292,8.957565909111715,9.961384010970885,5.980790091343293
Girls Under Glass - We Feel Alright,5.224764934273466,7.896329083691056,5.032222975839646,5.730251802693374,5.9708921991243855,6.072766006044904,7.6462668197116646,4.556944216536251,6.029702162867209
Hollow Ground - Ill Fate,7.9144535812284476,6.661968069950776,3.0246505573786138,4.85480756544237,5.613969943500052,8.189172902519646,6.544566779198279,2.211606806530219,6.318112731098169
James Elder & Mark M Thompson - The English Actor,6.976332538311845,7.101045943789483,6.644217470677237,7.503500692692751,7.056274161367829,7.498232313227086,9.211161117387569,7.092340654782041,6.693831152943975
Juliet's Rescue - Heartbeats,8.886181113348435,14.597406759303109,0.00043252438975019815,5.526428631702556,7.252612257185962,9.592941152515142,13.009304294346538,2.7161162539954975,6.447630426497033
Little Chicago's Finest - My Own,12.595782525548584,13.175675571464867,12.284977876490792,1.786663045018815,9.960774754630764,12.61052951633128,12.269350448191531,12.419940877925663,1.2486970632464365
Louis Cressy Band - Good Time,9.92244204264949,9.421551473805344,8.195281368832958,8.418743587348995,8.989504618159197,10.083546405743453,8.899729304798793,8.208837806708061,9.362876892775876
Lyndsey Ollard - Catching Up,10.95607384700016,7.1972120765295555,8.371035325513137,7.252567193940419,8.444222110745818,10.951968626167979,7.891580368006826,8.979505585064206,5.050437729556769
M.E.R.C. Music - Knockout,9.893518443909787,9.103497844616244,10.043705697613412,6.648756217256663,8.922369550849027,10.261683089680469,9.354997978273119,8.888900636863905,6.5375344590688576
Moosmusic - Big Dummy Shake,10.394174388171747,10.33987867279237,6.159328947835128,6.398595997131923,8.32299450148279,10.708951550695943,10.230535086707718,6.022047548064487,6.921168412739998
Motor Tapes - Shore,5.265601596086473,9.471248912748635,12.156137177922746,11.004016168495045,9.474250963813226,8.741372772589418,9.232744045450232,12.24155763477986,10.426611747100356
Mu - Too Bright,10.325556575343738,14.47373091462225,9.640221957754672,6.983323450241374,10.355708224490508,9.94486364454432,14.15584022760247,4.837182234327452,6.496645680558353
Nerve 9 - Pray For The Rain,6.697834737443904,10.407383461363832,7.213026441369375,6.831493016252315,7.787434414107356,8.057721800872482,10.569122718710087,6.846881500859205,7.160458592760088
PR - Happy Daze,-1.4251449395901608,21.468731885446076,7.22930741926618,7.6888501482796885,8.740436128350446,0.7761240863831129,18.15891893735575,9.696809288249169,8.81925208642183
PR - Oh No,0.00045347922039409703,6.198284613185686,0.008659233077873472,0.7004594684197674,1.7269641984759303,2.0552364213655645,6.649941627070932,3.0721983373904878,0.5643422006002248
Punkdisco - Oral Hygiene,9.235927099498557,5.074993070330553,3.731125777734645,1.2104686699613227,4.81312865438127,9.990015593430302,4.507060283986908,4.796478132079077,2.0234748214987643
Raft Monk - Tiring,5.4485726781401596,6.582345578029437,7.240423765660075,4.784491795208826,6.013958454259624,5.603113730777331,6.954452042979132,6.896073034111195,5.151492635127557
Sambasevam Shanmugam - Kaathaadi,13.276108670375466,8.48022273395563,12.260604107407072,6.395315794676132,10.103062826603574,12.959055473083993,6.915908806951054,10.509240012458815,9.619162439227695
Secretariat - Borderline,6.017508423496604,5.501607822402558,4.414004073532455,7.448833049627722,5.845488342264835,7.962371370557638,6.142491039391862,4.450573705322116,8.272457916410742
Secretariat - Over The Top,8.2044891286787,6.78981272481974,10.163464051442428,6.49631972613841,7.913521407769819,9.285257722730485,7.583527080226654,10.547911138090525,7.820608221630662
Side Effects Project - Sing With Me,13.371479912263968,13.91654614253252,9.913695265834853,2.6419253246071515,9.960911661309623,12.069112382374836,14.068201945442949,9.45184366105044,3.1895568051962675
Signe Jakobsen - What Have You Done To Me,10.14526966402399,4.536733699963396,2.4374555440887806,6.042599410656361,5.790514579683132,10.653256283885984,5.372676458209012,2.832912204702635,5.9392313135230665
Skelpolu - Resurrection,1.2456773829228478,7.588056790962276,10.873494996828844,2.452301795424612,5.539882741534644,1.7938595494940122,8.277735822929005,11.727708886978913,5.715443541147273
Speak Softly - Broken Man,4.6614943898774746,6.601952929778315,12.756808636235546,8.55972296578234,8.14499473041842,5.86002526839713,7.434144740453706,12.682285521121305,8.08003406381696
Speak Softly - Like Horses,7.478878307848322,6.140906574306193,16.830226114013893,7.9565597566579624,9.601642688206592,8.57822538045967,6.334808698681021,-21.660302498891365,4.5215306228766945
The Doppler Shift - Atrophy,8.485639875106227,8.200577986851897,1.9516108805080643,8.501326361813753,6.784788776069985,9.401558910160034,8.519156852485544,1.5995055548804904,6.46701826036903
The Easton Ellises (Baumi) - SDRNR,3.3730852486653418,10.149909012694604,5.585721107169,3.5872085163962746,5.673980971231305,6.122986036254723,9.578804360374539,7.4960318985041745,3.332592467100378
The Easton Ellises - Falcon 69,4.750092597620752,8.789753889552848,7.11005659516254,3.7422331991168627,6.098034070363251,4.586242343331992,8.687694660353234,6.384131266680098,3.5223257423813097
The Long Wait - Dark Horses,8.581987298287107,6.399182641325368,6.773238729913652,5.6140726929143,6.842120340610107,9.102048659897646,6.556420815975015,6.236316403310825,5.6502336170689915
The Mountaineering Club - Mallory,9.625843036026755,8.358128457183495,10.193939008933262,5.647864219859217,8.456443680500682,11.03141370757995,10.029021054712327,10.18541473116644,8.010749763058689
The Sunshine Garcia Band - For I Am The Moon,10.358024109821152,9.086966406832907,9.06006014010007,2.0719177656330796,7.644242105596803,10.03047292866258,9.043727704309998,8.40888425976767,2.1170302034905903
Timboz - Pony,4.673950995192452,4.833521010844613,2.60382095123538,8.801762101290679,5.228263764640781,5.465979078151536,4.724209791281847,2.4797694867488156,8.767163337117157
Tom McKenzie - Directions,8.588122509294573,13.875610460835082,4.89793205020897,1.5515935309568092,7.228314637823859,10.555108005315004,14.107803927452762,5.055588190004519,2.840285561118111
Triviul feat. The Fiend - Widow,9.611854967492935,6.35229901949363,12.03685016630784,4.818411478534374,8.204853907957194,9.476283283681735,6.301123496367801,12.180864485120885,4.63869395329923
We Fell From The Sky - Not You,6.327718667145526,10.651745496011905,3.091422461832741,7.507847413178059,6.894683509542058,6.701439581284071,10.343267324656855,2.858962372595848,8.16698492904038
