track,cSDR_vocals,cSDR_drums,cSDR_bass,cSDR_other,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
synthetic-00,14.6193483834043,10.128192311430354,19.508050690023502,16.319706297367702,15.143824420556465,15.120325005476403,10.057997759564794,20.15332038985563,16.332605488936068
synthetic-01,23.97708856049111,10.012354102440312,30.96079128884151,17.681565462636662,20.657949853602396,24.278242095219138,10.051957806489964,30.484495920460084,17.711113704513163
synthetic-02,22.565871475920353,9.407525637754816,31.73018713692823,17.101670830890786,20.201313770373545,21.859142283182102,9.505619449038296,31.681391611347777,16.76065045458465
synthetic-03,20.37191414933813,9.820084693391454,30.57431915378651,15.765982152470194,19.13307503724657,20.380781284241856,10.003202890760171,30.668709161923896,15.688075409923917
synthetic-04,24.62835487235257,10.101123741545546,31.56967672230739,18.02983665928068,21.082247998871544,22.856732136302476,10.035476396253886,31.490963977215436,17.244555534057653
synthetic-05,15.508174886117878,9.81753966346512,20.16884346335938,18.124174600618467,15.904683153390211,14.742183694940644,9.860025162972256,19.151916162829558,18.122641067607983
