track,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
synthetic-00,,0.0,0.0,0.0,0.0
synthetic-01,,0.0,0.0,0.0,0.0
synthetic-02,,0.0,0.0,0.0,0.0
synthetic-03,,0.0,0.0,0.0,0.0
synthetic-04,,0.0,0.0,0.0,0.0
synthetic-05,,0.0,0.0,0.0,0.0
