track,cSDR_vocals,cSDR_drums,cSDR_bass,cSDR_other,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
synthetic-00,-5.252624632839918,-15.547203998577913,2.0838289065474416,-8.217690506486324,-6.733422557839178,-5.283485171816661,-15.740545014333463,2.0169011240358827,-8.21426431566527
synthetic-01,-5.292376467894328,-15.495672448180473,2.0307773377646625,-8.262007124181194,-6.754819675622834,-5.297611808338693,-15.505972680934143,2.0194058449061982,-8.239115051249145
synthetic-02,-5.229039587398133,-17.020075125746438,2.0450391672781594,-8.19895610992085,-7.100757913946816,-5.263450619079392,-16.463444011205265,2.077917257794603,-8.206661011111336
synthetic-03,-5.236254344491668,-15.995753540207417,2.053038204108469,-8.21020248617785,-6.847293041692117,-5.3005411190549765,-15.370634107397505,2.0394397346674467,-8.229007741353572
synthetic-04,-5.240532651197131,-15.688656882401016,2.0093017862158415,-8.2317809224891,-6.787917167467851,-5.282335775898285,-15.817996255896901,2.0009385806625484,-8.239299522522138
synthetic-05,-5.238290535172635,-16.20839917809423,2.0642061934436566,-8.130536423299912,-6.87825498578078,-5.273000746338905,-16.20989910129236,2.0619700578322067,-8.185352432445526
